msg_id,timestamp_raw,timestamp_et,date_et,time_et,hour_et,minute_et,day_of_week,has_image,image_file,text,msg_type,spx_levels,main_level,stop_level,below_level,above_level,is_hero,has_hourly_stop,has_daily_stop,is_scalper,source_file,spy_at_alert,spx_approx_at_alert,otm_pct,distance_from_level,spx_above_level,option_strike_used,option_ticker,option_price_at_alert,option_price_eod,option_max_after_alert,option_min_after_alert,option_pct_gain_max,option_pct_loss_max,is_winner,is_loser,time_to_max_minutes
28786,02.01.2026 22:56:00 UTC+03:00,2026-01-02 14:56:00,2026-01-02,14:56,14,56,Friday,True,photos/photo_20587@02-01-2026_22-56-00.jpg,$SPX PUT HERO ⚡️,SPX_PUT_HERO,,,,,,True,False,False,False,telegram_data/messages.html,,,,,,,,,,,,,,,,
28808,05.01.2026 12:34:24 UTC+03:00,2026-01-05 04:34:24,2026-01-05,04:34,4,34,Monday,True,photos/photo_20595@05-01-2026_12-34-24.jpg,#US500 ⚡️ ادنى نقاط 6920-6900 ضارب PUT⛔️,SPX_PUT_ALERT,"6920,6900",6920.0,,,,False,False,False,False,telegram_data/messages.html,684.49,6844.9,-1.097,-75.1,False,6920.0,O:SPXW260105P06920000,24.42,17.9,31.4,5.3,28.6,-78.3,False,True,295.6
28809,05.01.2026 18:03:09 UTC+03:00,2026-01-05 10:03:09,2026-01-05,10:03,10,3,Monday,True,photos/photo_20596@05-01-2026_18-03-09.jpg,$SPX ⚡️ PUT HERO ⚡️ STOP 🛑 6920 ❌ اغلاق ساعة ⛔️,SPX_PUT_HERO,6920,6920.0,6920.0,,,True,True,False,False,telegram_data/messages.html,687.5268,6875.268,-0.651,-44.7,False,6920.0,O:SPXW260105P06920000,19.9,17.9,23.63,5.3,18.7,-73.4,False,True,3.85
28815,06.01.2026 18:20:49 UTC+03:00,2026-01-06 10:20:49,2026-01-06,10:20,10,20,Tuesday,True,photos/photo_20600@06-01-2026_18-20-49.jpg,$SPX PUT HERO ⚡️,SPX_PUT_HERO,,,,,,True,False,False,False,telegram_data/messages.html,,,,,,,,,,,,,,,,
28822,06.01.2026 20:42:15 UTC+03:00,2026-01-06 12:42:15,2026-01-06,12:42,12,42,Tuesday,True,photos/photo_20607@06-01-2026_20-42-15.jpg,$SPX PUT HERO ⚡️ أدنى:  6950-6945 مناسب البوت⛔️,SPX_PUT_HERO,"6950,6945",6950.0,,6950.0,,True,False,False,False,telegram_data/messages.html,690.7851,6907.851000000001,-0.61,-42.1,False,6950.0,O:SPXW260106P06950000,18.3,4.4,19.0,2.1,3.8,-88.5,False,True,24.75
28845,07.01.2026 17:51:28 UTC+03:00,2026-01-07 09:51:28,2026-01-07,09:51,9,51,Wednesday,True,photos/photo_20629@07-01-2026_17-51-28.jpg,$SPX PUT HERO ⚡️ STOP 🛑 6960 ⛔️ ( اغلاق ساعة ),SPX_PUT_HERO,6960,6960.0,6960.0,,,True,True,False,False,telegram_data/messages.html,692.415,6924.15,-0.518,-35.9,False,6960.0,O:SPXW260107P06960000,14.6,37.5,40.42,3.41,176.8,-76.6,True,True,364.53333333333336
28889,08.01.2026 18:24:14 UTC+03:00,2026-01-08 10:24:14,2026-01-08,10:24,10,24,Thursday,True,photos/photo_20673@08-01-2026_18-24-14.jpg,$SPX PUT HERO ⚡️ مناسب لمضارب البوت أدنى 6937 ⛔️,SPX_PUT_HERO,6937,6937.0,,6937.0,,True,False,False,True,telegram_data/messages.html,689.74,6897.4,-0.574,-39.6,False,,,,,,,,,,,
28893,08.01.2026 19:53:21 UTC+03:00,2026-01-08 11:53:21,2026-01-08,11:53,11,53,Thursday,True,photos/photo_20677@08-01-2026_19-53-21.jpg,$SPX PUT HERO ⚡️ للمضارب مره أخرى ادنى 6937⛔️,SPX_PUT_HERO,6937,6937.0,,6937.0,,True,False,False,True,telegram_data/messages.html,689.22,6892.200000000001,-0.65,-44.8,False,,,,,,,,,,,
28899,09.01.2026 17:46:45 UTC+03:00,2026-01-09 09:46:45,2026-01-09,09:46,9,46,Friday,True,photos/photo_20680@09-01-2026_17-46-45.jpg,$SPX PUT HERO ⚡️ ⛔️مناسب ادنى 6965-6955 ⛔️,SPX_PUT_HERO,"6965,6955",6965.0,,6965.0,,True,False,False,False,telegram_data/messages.html,691.65,6916.5,-0.701,-48.5,False,6965.0,O:SPXW260109P06965000,30.2,0.05,46.0,0.03,52.3,-99.9,True,True,22.25
28900,09.01.2026 17:58:48 UTC+03:00,2026-01-09 09:58:48,2026-01-09,09:58,9,58,Friday,True,photos/photo_20681@09-01-2026_17-58-48.jpg,$SPX | ⚡️ #تحديث ⚡️ كسر 6930-6920 (PUT)❤️ وبكل اختصار اغلاق ساعة ⬇️ ادنى 6930 البوت سريع 🩸,SPX_PUT_ALERT,"6930,6920,6930",6930.0,,6930.0,,False,True,False,False,telegram_data/messages.html,691.51,6915.1,-0.215,-14.9,False,6930.0,O:SPXW260109P06930000,13.91,0.05,20.85,0.03,49.9,-99.8,False,True,9.2
28904,09.01.2026 18:39:02 UTC+03:00,2026-01-09 10:39:02,2026-01-09,10:39,10,39,Friday,True,photos/photo_20684@09-01-2026_18-39-02.jpg,$SPX PUT HERO ⚡️ STOP 🛑 6965 ( 1H ),SPX_PUT_HERO,6965,6965.0,6965.0,,,True,True,False,False,telegram_data/messages.html,692.7627,6927.627,-0.539,-37.4,False,6965.0,O:SPXW260109P06965000,18.9,0.05,28.13,0.03,48.8,-99.8,False,True,5.966666666666667
28905,09.01.2026 20:11:43 UTC+03:00,2026-01-09 12:11:43,2026-01-09,12:11,12,11,Friday,True,photos/photo_20685@09-01-2026_20-11-43.jpg,$SPX PUT HERO | مضاربي⚡️ ⛔️اغلاق الساعة القادمة ⛔️ اعلى نقطة 6965 ❌,SPX_PUT_HERO,6965,6965.0,,,,True,True,False,True,telegram_data/messages.html,693.93,6939.299999999999,-0.37,-25.7,False,6965.0,O:SPXW260109P06965000,6.94,0.05,9.0,0.03,29.7,-99.6,False,True,74.28333333333333
28914,09.01.2026 21:01:22 UTC+03:00,2026-01-09 13:01:22,2026-01-09,13:01,13,1,Friday,True,photos/photo_20694@09-01-2026_21-01-22.jpg,$SPX (W) PUT HERO | اليوم⚡️,SPX_PUT_HERO,,,,,,True,False,False,False,telegram_data/messages.html,,,,,,,,,,,,,,,,
28915,09.01.2026 21:01:22 UTC+03:00,2026-01-09 13:01:22,2026-01-09,13:01,13,1,Friday,True,photos/photo_20695@09-01-2026_21-01-22.jpg,$SPX (W) PUT HERO | اليوم⚡️,SPX_PUT_HERO,,,,,,True,False,False,False,telegram_data/messages.html,,,,,,,,,,,,,,,,
28916,09.01.2026 21:01:22 UTC+03:00,2026-01-09 13:01:22,2026-01-09,13:01,13,1,Friday,True,photos/photo_20696@09-01-2026_21-01-22.jpg,$SPX (W) PUT HERO | اليوم⚡️,SPX_PUT_HERO,,,,,,True,False,False,False,telegram_data/messages.html,,,,,,,,,,,,,,,,
28936,09.01.2026 23:38:43 UTC+03:00,2026-01-09 15:38:43,2026-01-09,15:38,15,38,Friday,True,photos/photo_20714@09-01-2026_23-38-43.jpg,$SPX (W) PUT HERO | اليوم⚡️,SPX_PUT_HERO,,,,,,True,False,False,False,telegram_data/messages.html,,,,,,,,,,,,,,,,
28937,09.01.2026 23:38:43 UTC+03:00,2026-01-09 15:38:43,2026-01-09,15:38,15,38,Friday,True,photos/photo_20715@09-01-2026_23-38-43.jpg,$SPX (W) PUT HERO | اليوم⚡️,SPX_PUT_HERO,,,,,,True,False,False,False,telegram_data/messages.html,,,,,,,,,,,,,,,,
28963,12.01.2026 18:31:02 UTC+03:00,2026-01-12 10:31:02,2026-01-12,10:31,10,31,Monday,True,photos/photo_20729@12-01-2026_18-31-02.jpg,$SPX | #تحديث ⚡️ أدنى نقاط 6980 ضارب PUT⛔️ الوقف اغلاق ساعة 🔴,SPX_PUT_ALERT,6980,6980.0,,,,False,True,False,False,telegram_data/messages.html,693.4055,6934.054999999999,-0.663,-45.9,False,6980.0,O:SPXW260112P06980000,22.9,2.52,25.44,0.75,11.1,-96.7,False,True,1.9666666666666666
28964,12.01.2026 18:33:19 UTC+03:00,2026-01-12 10:33:19,2026-01-12,10:33,10,33,Monday,True,photos/photo_20730@12-01-2026_18-33-19.jpg,بشكل عام : $SPX ⬇️ ضارب PUT أدنى 6980-6975 🔴 إغلاقنا ساعة أعلاها ⛔️,SPX_PUT_ALERT,"6980,6975",6980.0,,6980.0,,False,True,False,False,telegram_data/messages.html,693.03,6930.299999999999,-0.717,-49.7,False,6980.0,O:SPXW260112P06980000,24.7,2.52,25.4,0.75,2.8,-97.0,False,True,0.6833333333333333
28965,12.01.2026 19:21:27 UTC+03:00,2026-01-12 11:21:27,2026-01-12,11:21,11,21,Monday,True,photos/photo_20731@12-01-2026_19-21-27.jpg,$SPX (W) PUT HERO | اليوم⚡️,SPX_PUT_HERO,,,,,,True,False,False,False,telegram_data/messages.html,,,,,,,,,,,,,,,,
28966,12.01.2026 19:21:27 UTC+03:00,2026-01-12 11:21:27,2026-01-12,11:21,11,21,Monday,True,photos/photo_20732@12-01-2026_19-21-27.jpg,$SPX (W) PUT HERO | اليوم⚡️,SPX_PUT_HERO,,,,,,True,False,False,False,telegram_data/messages.html,,,,,,,,,,,,,,,,
