msg_id,timestamp_raw,timestamp_et,date_et,time_et,hour_et,minute_et,day_of_week,has_image,image_file,text,msg_type,spx_levels,main_level,stop_level,below_level,above_level,is_hero,has_hourly_stop,has_daily_stop,is_scalper,source_file
28743,02.01.2026 18:55:51 UTC+03:00,2026-01-02 10:55:51,2026-01-02,10:55,10,55,Friday,True,photos/photo_20548@02-01-2026_18-55-51.jpg,#US500 #تحديث ⚡️ بشكل عام ادنى 6920-6900 سلبي ❤️,SPX_UPDATE,"6920,6900",6920.0,,6920.0,,False,False,False,False,telegram_data/messages.html
28776,02.01.2026 20:21:56 UTC+03:00,2026-01-02 12:21:56,2026-01-02,12:21,12,21,Friday,True,photos/photo_20578@02-01-2026_20-21-56.jpg,$SPX | #تحديث ⚡️,SPX_UPDATE,,,,,,False,False,False,False,telegram_data/messages.html
28786,02.01.2026 22:56:00 UTC+03:00,2026-01-02 14:56:00,2026-01-02,14:56,14,56,Friday,True,photos/photo_20587@02-01-2026_22-56-00.jpg,$SPX PUT HERO ⚡️,SPX_PUT_HERO,,,,,,True,False,False,False,telegram_data/messages.html
28787,02.01.2026 23:49:08 UTC+03:00,2026-01-02 15:49:08,2026-01-02,15:49,15,49,Friday,True,photos/photo_20588@02-01-2026_23-49-08.jpg,$SPX ⚡️ حلوين !! كسر نقطة 6845 سريع🩸,SPX_ANALYSIS,6845,6845.0,,,,False,False,False,False,telegram_data/messages.html
28808,05.01.2026 12:34:24 UTC+03:00,2026-01-05 04:34:24,2026-01-05,04:34,4,34,Monday,True,photos/photo_20595@05-01-2026_12-34-24.jpg,#US500 ⚡️ ادنى نقاط 6920-6900 ضارب PUT⛔️,SPX_PUT_ALERT,"6920,6900",6920.0,,,,False,False,False,False,telegram_data/messages.html
28809,05.01.2026 18:03:09 UTC+03:00,2026-01-05 10:03:09,2026-01-05,10:03,10,3,Monday,True,photos/photo_20596@05-01-2026_18-03-09.jpg,$SPX ⚡️ PUT HERO ⚡️ STOP 🛑 6920 ❌ اغلاق ساعة ⛔️,SPX_PUT_HERO,6920,6920.0,6920.0,,,True,True,False,False,telegram_data/messages.html
28813,06.01.2026 11:25:49 UTC+03:00,2026-01-06 03:25:49,2026-01-06,03:25,3,25,Tuesday,True,photos/photo_20599@06-01-2026_11-25-49.jpg,#US500 ⚡️ تداول ادنى 6890-6885 جميل البوت❤️,SPX_ANALYSIS,"6890,6885",6890.0,,6890.0,,False,False,False,False,telegram_data/messages.html
28815,06.01.2026 18:20:49 UTC+03:00,2026-01-06 10:20:49,2026-01-06,10:20,10,20,Tuesday,True,photos/photo_20600@06-01-2026_18-20-49.jpg,$SPX PUT HERO ⚡️,SPX_PUT_HERO,,,,,,True,False,False,False,telegram_data/messages.html
28822,06.01.2026 20:42:15 UTC+03:00,2026-01-06 12:42:15,2026-01-06,12:42,12,42,Tuesday,True,photos/photo_20607@06-01-2026_20-42-15.jpg,$SPX PUT HERO ⚡️ أدنى:  6950-6945 مناسب البوت⛔️,SPX_PUT_HERO,"6950,6945",6950.0,,6950.0,,True,False,False,False,telegram_data/messages.html
28827,06.01.2026 22:06:43 UTC+03:00,2026-01-06 14:06:43,2026-01-06,14:06,14,6,Tuesday,True,photos/photo_20612@06-01-2026_22-06-43.jpg,$SPX ⛔️ ⚡️منطقة رفض اخيره ⚡️ اغلاق يومي أعلى 6950 ممتاز ✅ غير ذالك يبقى سلبي🩸,SPX_ANALYSIS,6950,6950.0,,,6950.0,False,False,True,False,telegram_data/messages.html
28828,06.01.2026 22:17:15 UTC+03:00,2026-01-06 14:17:15,2026-01-06,14:17,14,17,Tuesday,True,photos/photo_20613@06-01-2026_22-17-15.jpg,$SPX ⚡️ اغلاق يومي 6945-6960 ✅ يفتح الطريق إلى 7000 🟢 غير ذالك يبقى سلبي🔴,SPX_ANALYSIS,"6945,6960,7000",6945.0,,,,False,False,True,False,telegram_data/messages.html
28845,07.01.2026 17:51:28 UTC+03:00,2026-01-07 09:51:28,2026-01-07,09:51,9,51,Wednesday,True,photos/photo_20629@07-01-2026_17-51-28.jpg,$SPX PUT HERO ⚡️ STOP 🛑 6960 ⛔️ ( اغلاق ساعة ),SPX_PUT_HERO,6960,6960.0,6960.0,,,True,True,False,False,telegram_data/messages.html
28846,07.01.2026 18:20:22 UTC+03:00,2026-01-07 10:20:22,2026-01-07,10:20,10,20,Wednesday,True,photos/photo_20630@07-01-2026_18-20-22.jpg,$SPX ⚡️ #تحديث ⚡️ جميل البوت للمضارب 🩸 ادنى 6950-6940⛔️,SPX_UPDATE,"6950,6940",6950.0,,6950.0,,False,False,False,True,telegram_data/messages.html
28847,07.01.2026 21:06:26 UTC+03:00,2026-01-07 13:06:26,2026-01-07,13:06,13,6,Wednesday,True,photos/photo_20631@07-01-2026_21-06-26.jpg,$SPX #تحديث,SPX_UPDATE,,,,,,False,False,False,False,telegram_data/messages.html
28868,08.01.2026 09:49:11 UTC+03:00,2026-01-08 01:49:11,2026-01-08,01:49,1,49,Thursday,True,photos/photo_20652@08-01-2026_09-49-11.jpg,#US500 #تحديث ⚡️,SPX_UPDATE,,,,,,False,False,False,False,telegram_data/messages.html
